id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2650044,VIIRS,2013-08-05 22:13:57+00:00,,55.374599,54.571236,0101000020E61000002026E1421E494B40A20E2BDCF2AF4B40,1.22,1674,0.98,2.2,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_215,__None__,viirs-ir-sources-20130805.kmz,1
2650045,VIIRS,2013-08-05 22:13:59+00:00,,55.525436,51.86504,0101000020E6100000ADDD76A1B9EE49400E12A27C41C34B40,10.52,1324,7.6,43.59,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_217,__None__,viirs-ir-sources-20130805.kmz,1
2650046,VIIRS,2013-08-05 22:14:01+00:00,,55.045033,55.269222,0101000020E61000008EAED2DD75A24B40D11E2FA4C3854B40,1.06,1665,0.78,1.8,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_218,__None__,viirs-ir-sources-20130805.kmz,1
2650047,VIIRS,2013-08-05 22:14:02+00:00,,54.93399,55.618607,0101000020E6100000D009A1832ECF4B404165FCFB8C774B40,0.26,1810,0.19,0.31,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_219,__None__,viirs-ir-sources-20130805.kmz,0
2650048,VIIRS,2013-08-05 22:14:02+00:00,,54.845871,56.113213,0101000020E6100000B43D7AC37D0E4C4042D13C80456C4B40,1.08,1294,0.74,4.65,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_220,__None__,viirs-ir-sources-20130805.kmz,1
2650049,VIIRS,2013-08-05 22:14:02+00:00,,54.789024,56.342529,0101000020E61000003E7782FDD72B4C402AE109BDFE644B40,1,1542,0.67,2.1,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_221,__None__,viirs-ir-sources-20130805.kmz,1
2650050,VIIRS,2013-08-05 22:14:04+00:00,,55.203529,51.889965,0101000020E6100000D5CA845FEAF14940D064FF3C0D9A4B40,0.29,1810,0.21,0.34,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_223,__None__,viirs-ir-sources-20130805.kmz,0
2650051,VIIRS,2013-08-05 22:14:04+00:00,,55.172436,51.768246,0101000020E610000033A48AE255E249409753026212964B40,0.42,1810,0.3,0.5,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_224,__None__,viirs-ir-sources-20130805.kmz,0
2650052,VIIRS,2013-08-05 22:14:06+00:00,,54.74197,55.349709,0101000020E6100000F50EB743C3AC4B407B4E7ADFF85E4B40,0.8,1819,0.58,0.94,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_225,__None__,viirs-ir-sources-20130805.kmz,1
2650053,VIIRS,2013-08-05 22:14:06+00:00,,55.116253,51.462769,0101000020E6100000234DBC033CBB4940EC87D860E18E4B40,0.59,1810,0.44,0.72,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_226,__None__,viirs-ir-sources-20130805.kmz,0
2650054,VIIRS,2013-08-05 22:14:08+00:00,,54.968239,51.561314,0101000020E6100000BB641C23D9C749401ADB6B41EF7B4B40,0.29,1810,0.21,0.35,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_227,__None__,viirs-ir-sources-20130805.kmz,0
2650055,VIIRS,2013-08-05 22:14:10+00:00,,54.469509,56.005173,0101000020E61000003EE94482A9004C40BE16F4DE183C4B40,0.38,1810,0.26,0.43,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_228,__None__,viirs-ir-sources-20130805.kmz,0
2650056,VIIRS,2013-08-05 22:14:10+00:00,,54.831585,52.391941,0101000020E6100000147B681F2B324A400D6C9560716A4B40,0.38,1810,0.38,0.62,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_229,__None__,viirs-ir-sources-20130805.kmz,0
2650057,VIIRS,2013-08-05 22:14:11+00:00,,54.562508,53.674774,0101000020E6100000761893FE5ED64A4083DE1B4300484B40,0.47,1810,0.4,0.66,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_230,__None__,viirs-ir-sources-20130805.kmz,0
2650058,VIIRS,2013-08-05 22:14:13+00:00,,54.702023,51.425755,0101000020E6100000E38DCC237FB649401805C1E3DB594B40,0.39,1810,0.29,0.47,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_231,__None__,viirs-ir-sources-20130805.kmz,0
2650059,VIIRS,2013-08-05 22:14:17+00:00,,54.027306,55.724266,0101000020E610000068CD8FBFB4DC4B40077E54C37E034B40,0.54,1810,0.37,0.61,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_233,__None__,viirs-ir-sources-20130805.kmz,0
